Date,MXBR,MXCA,MXCH,MXFR,MXGB,MXIN,MXJP,MXZA,TAMSCI,MXEG,BBDXY
2005-01-07,1109.9052,977.0099,677.276,146.7537,3174.4414,6.7406,6.9477,69.2108,8.3653,110.3956,1026.96
2005-01-14,1136.2742,994.0189,680.0357,146.8031,3162.2278,6.4797,7.1321,69.9322,8.3109,115.033,1018.19
2005-01-21,1108.849,996.1398,679.6234,146.3989,3170.8557,6.4517,6.976,68.7991,8.286,118.4544,1020.77
2005-01-28,1129.9055,985.3706,679.581,146.9332,3201.5197,6.6962,6.9747,70.5527,8.3534,133.9877,1022.24
2005-02-04,1228.0465,1003.0042,678.1058,148.4746,3263.7311,6.9649,6.9546,68.7638,8.6899,146.8613,1030.6
2005-02-11,1247.6257,1037.8157,687.1467,150.6192,3310.539,6.952,6.9422,70.3104,8.6899,140.0854,1032.04
2005-02-18,1284.4161,1055.3038,702.0481,153.5941,3365.547,6.8708,7.0013,73.3376,8.7975,145.6302,1022.36
2005-02-25,1356.8801,1059.1859,715.9116,155.6637,3382.092,6.8761,7.0275,76.1097,9.0084,150.8332,1014.93
2005-03-04,1383.1068,1088.3363,727.369,157.8852,3416.5716,7.1376,7.2034,76.9756,8.9855,164.6023,1012.88
2005-03-11,1298.0781,1086.4887,733.4653,158.7011,3387.5808,7.1812,7.2863,77.3486,9.0153,179.2724,1002.28
2005-03-18,1270.9856,1091.6703,716.1228,157.0723,3354.9452,7.0131,7.2258,73.7556,8.6413,165.8328,1008.03
2005-04-01,1255.9654,1073.6327,697.9479,153.1753,3277.0034,6.8934,6.9919,70.6509,8.5895,158.4741,1030.74
2005-04-08,1238.7277,1062.6128,709.707,155.0507,3327.2869,6.7632,7.0415,70.9727,8.5053,162.0382,1032.4
2005-04-15,1164.7989,1009.1667,707.5509,151.4199,3280.792,6.5148,6.7914,68.4476,8.3156,165.1124,1033.78
2005-04-22,1194.8707,1028.4048,711.3666,151.1935,3291.9327,6.6199,6.7616,69.7594,8.1921,162.0501,1021.89
2005-04-29,1192.7141,1014.9897,701.832,147.1201,3248.1234,6.4433,6.8349,68.897,8.3893,173.9911,1027.52
2005-05-06,1262.9715,1047.6516,714.482,151.1899,3293.5821,6.7143,6.966,71.4608,8.7075,185.2513,1029.14
2005-05-13,1177.8859,1000.1733,694.267,148.2769,3204.2809,6.7757,6.6969,68.4596,8.6836,186.6219,1045.34
2005-05-20,1232.3562,1018.3421,697.7284,150.895,3222.7093,6.8266,6.639,67.7447,8.6097,174.4329,1051.12
2005-05-27,1287.4083,1043.8572,715.8068,153.2948,3232.296,7.0389,6.6973,68.9187,8.7209,177.6171,1047.71
2005-06-03,1346.0723,1050.4246,707.7322,150.967,3227.4088,7.0912,6.7713,65.8748,8.8598,177.2066,1058.01
2005-06-10,1255.0466,1065.4969,703.6235,151.0698,3252.0503,7.149,6.7297,67.1424,8.958,185.7933,1064.31
2005-06-17,1358.3823,1098.9217,709.5464,153.8966,3309.4446,7.2777,6.8453,70.0627,9.1835,198.3907,1053.96
2005-06-24,1301.7125,1104.8293,698.6306,151.2175,3301.3007,7.5193,6.8345,68.8499,9.223,213.1403,1062.24
2005-07-01,1361.0814,1087.0462,693.4801,152.074,3259.2178,7.6047,6.7293,68.3396,9.043,208.2336,1078.71
2005-07-08,1340.1056,1139.223,693.6222,153.0507,3236.392,7.6,6.6594,68.8771,8.8462,211.3088,1080.6
2005-07-15,1357.9531,1134.7077,715.6041,157.408,3268.4332,7.6475,6.7633,74.345,9.2674,212.8009,1075.42
2005-07-22,1377.8793,1163.8648,718.0235,158.8391,3237.8529,7.8504,6.7738,74.9351,9.3373,212.9397,1072.16
2005-07-29,1382.9139,1164.7256,735.1428,161.096,3308.0786,8.0413,6.8106,75.6589,9.1796,209.2903,1071.63
2005-08-05,1471.7088,1184.4211,748.7729,162.6658,3366.1985,8.1681,6.7499,78.6625,9.4451,202.9893,1059.64
2005-08-12,1480.4698,1226.7709,764.0469,166.0748,3467.1377,8.1532,7.2394,81.7282,9.2949,200.2231,1047.73
2005-08-19,1417.3912,1187.4503,747.6858,162.8908,3413.203,8.1618,7.2108,78.7693,8.9261,198.5939,1064.31
2005-08-26,1449.3938,1196.3734,736.7742,159.8024,3378.6893,8.0248,7.3805,78.4706,8.8938,202.9324,1058.36
2005-09-02,1562.4532,1242.9493,762.509,165.3337,3514.1077,8.2184,7.4661,84.0094,8.7864,210.4673,1043.84
2005-09-09,1634.4037,1269.6606,773.8772,166.9004,3529.3091,8.3661,7.5311,84.2217,8.7572,217.7403,1046.15
2005-09-16,1685.9421,1272.8371,769.0153,164.8754,3495.6039,8.6853,7.6212,85.1849,8.6014,219.2073,1059.01
2005-09-23,1772.5889,1281.2422,754.8846,161.4871,3448.0799,8.4629,7.7276,84.4322,8.3696,223.3218,1069.89
2005-09-30,1828.2743,1304.9654,766.434,165.509,3464.0312,8.8585,8.0391,88.6518,8.688,233.7498,1071.36
2005-10-07,1680.8626,1238.7845,779.0875,164.0472,3380.9788,8.7011,7.7836,81.7472,8.6237,232.3219,1070.46
2005-10-14,1665.175,1212.4411,768.1195,161.7681,3344.9654,8.3357,7.9209,79.1704,8.3614,239.6309,1075
2005-10-21,1635.6977,1194.4761,758.8566,156.0877,3256.4769,8.1539,7.7066,78.5602,7.9848,231.5071,1082.83
2005-10-28,1650.629,1202.5292,768.4006,155.9423,3313.4917,7.7594,7.8781,79.5713,7.8717,228.6689,1076.01
2005-11-04,1759.1457,1241.5922,789.5629,159.0461,3399.4964,8.1271,8.1283,83.444,8.3323,237.6656,1092.4
2005-11-11,1787.108,1235.7347,800.9723,158.5571,3410.1617,8.4414,8.1468,83.8191,8.6592,248.8888,1094.86
2005-11-18,1805.0387,1240.9731,807.0545,160.1407,3385.5619,8.6492,8.2997,87.5466,8.642,237.9482,1097.07
2005-11-25,1858.4055,1299.1277,813.1451,161.5679,3404.6039,8.8059,8.276,89.1343,8.697,235.0472,1097.35
